Data,Link,Título,Data Detalhada,Conteúdo Detalhado
"31 Jul 2023,The European Commission adopts the European Sustainability Reporting Standards (ESRS),Europe,Social; Environment; Governance,Aerospace and Defence; Consumer; Travel and Tourism; Agriculture & Forestry; Government and Non-Profit Organisations; Chemicals; Transportation; Infrastructure and Logistics; Packaging; Risk management; Industrial Goods & Machinery; Mining; Technology; Media and Telecom; Automotive; Business and Consumer Services; Financial Services; Healthcare; Sport; Construction,
                                                    European Commission
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-european-commission-adopts-the-european-sustainability-reporting-standards-esrs,The European Commission adopts the European Sustainability Reporting Standards (ESRS),"Tuesday, 01 August 2023","The European Sustainability Reporting Standards (ESRS) were approved by the Commission today for use by all businesses governed by the Corporate Sustainability Reporting Directive (CSRD). This is a step in the right direction toward a sustainable EU economy. The complete spectrum of environmental, social, and governance issues are covered by the standards, including those relating to climate change, biodiversity, and human rights. Investors can use the information they provide to better understand the sustainability impact of the businesses they invest in. In order to achieve a very high level of interoperability between EU and global standards and to prevent enterprises from reporting information twice, they also take into account negotiations with the International Sustainability Standards Board (ISSB) and the Global Reporting Initiative (GRI). For various companies, the reporting requirements will gradually be implemented."
"26 Jul 2023,A comparison of IFRS S2 and the TCFD Recommendations is published by the IFRS Foundation,Global,Environment; Risk Management; Governance; Corporate Structure; Social,Investment Banking; Investments and Asset Management; Risk management; Financial Services,
                                                    International Sustainability Standards Board
                                                ,",https://www.globaldata.com/esg/regulatorysummary/a-comparison-of-ifrs-s2-and-the-tcfd-recommendations-is-published-by-the-ifrs-foundation,A comparison of IFRS S2 and the TCFD Recommendations is published by the IFRS Foundation,"Wednesday, 26 July 2023","The IFRS Foundation has today published a comparison of the requirements in IFRS S2 Climate-related Disclosures and the TCFD recommendations in response to the Financial Stability Board's announcement that the work of the Task force on Climate-related Financial Disclosures (TCFD) has been completed, with the ISSB Standards marking the ""culmination of the work of the TCFD."" The requirements in IFRS S2 are in line with the eleven recommended disclosures and the four core recommendations provided by the TCFD. Companies who implement the ISSB Standards will comply with the TCFD recommendations, as shown in this comparison, thus they do not need to implement the TCFD recommendations in addition to the ISSB Standards."
"25 Jul 2023,IOSCO endorses the ISSB’s Sustainability-related Financial Disclosures Standards,Global,Environment; Risk Management; Governance; Social,Investment Banking; Financial Services,
                                                    International Organization of Securities Commissions
                                                ,",https://www.globaldata.com/esg/regulatorysummary/iosco-endorses-the-issbs-sustainability-related-financial-disclosures-standards,IOSCO endorses the ISSB’s Sustainability-related Financial Disclosures Standards,"Wednesday, 26 July 2023","IOSCO has voted to support IFRS S1 and IFRS S2, the recently released sustainability-related financial disclosure standards from the International Sustainability Standards Board (ISSB), marking a significant step toward consistent, comparable, and accurate sustainability reporting."
"20 Jul 2023,ESG Sub-category for Equity Schemes Introduced by SEBI,India; Asia,Social; Governance; Environment; Sustainable Finance,Investments and Asset Management; Risk management; Financial Services,
                                                    Securities and Exchange Board of India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/esg-sub-category-for-equity-schemes-introduced-by-sebi,ESG Sub-category for Equity Schemes Introduced by SEBI,"Friday, 21 July 2023","According to the current regulatory criteria, Mutual Funds are only allowed to introduce one equity scheme that includes ESG investment. An ESG Advisory Committee was established by SEBI to make suggestions for additional steps to enhance transparency, with a special focus on mitigating risks of mis-selling and greenwashing. This committee made recommendations for extending the disclosure requirements for ESG funds.The SEBI (Mutual Funds) Regulations, 1996 were amended on June 27, 2023(link), taking into account the recommendations of the ESG Advisory Committee and in response to public consultation on the subject. Among other things, the amendments state that funds under ESG schemes must be invested according to the methods SEBI has from time to time specified."
"17 Jul 2023,IOSCO Issues Final Recommendations on Compliance in Carbon Markets,Global,Environment,Investment Banking; Capital Markets; Investments and Asset Management; Risk management; Financial Services,
                                                    International Organization of Securities Commissions
                                                ,",https://www.globaldata.com/esg/regulatorysummary/iosco-issues-final-recommendations-on-compliance-in-carbon-markets,IOSCO Issues Final Recommendations on Compliance in Carbon Markets,"Tuesday, 18 July 2023","The International Organization of Securities Commissions' Board released a final report on compliance carbon markets (CCMs) with the intention of assisting IOSCO members that want to create new CCMs or improve their current CCMs.  With reference to the lessons learned from conventional financial markets, OSCO's final study offers twelve major recommendations for developing and improving compliant carbon markets."
"14 Jul 2023,Consumer Businesses in Australia Will Face Tougher Greenwashing Regulations,Australia; Oceania,Climate Change; Environment; Pollution,Consumer; Business and Consumer Services,
                                                    Australian Competition and Consumer Commission (ACCC)
                                                ,",https://www.globaldata.com/esg/regulatorysummary/consumer-businesses-in-australia-will-face-tougher-greenwashing-regulations,Consumer Businesses in Australia Will Face Tougher Greenwashing Regulations,"Saturday, 15 July 2023","To strengthen the veracity of environmental and sustainability claims made by companies and safeguard consumers from ""greenwashing,"" the ACCC published draft advice.
The draft guidance tries to address the troubling behavior exposed by the ACCC's recent online investigation into greenwashing, which discovered that 57% of the businesses examined were making potentially deceptive environmental claims.
The ACCC is giving priority to consumer, product safety, fair trade, and competition concerns in relation to environmental and sustainability claims as part of the 2023–24 Compliance and Enforcement Priorities."
"12 Jul 2023,SEBI improves ESG reporting framework for listed entities and their value chain,India; Asia,Environment; Governance; Corporate Structure; Ethics; Risk Management; Social,Investment Banking; Investments and Asset Management; Risk management; Financial Services,
                                                    Securities and Exchange Board of India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/sebi-improves-its-esg-reporting-framework-for-listed-entities-and-their-value-chain,SEBI improves ESG reporting framework for listed entities and their value chain,"Friday, 14 July 2023","The BRSR Core is a subset of the BRSR and consists of a group of metrics and Key Performance Indicators (KPIs) that fall under nine ESG criteria.A few new KPIs, such as job creation in small towns, company openness, gross wages paid to women, etc., have been identified for assurance while keeping in mind their relevance to the Indian / Emerging market environment. Additionally, revenue-based intensity ratios that have been PPP (Purchasing Power Parity) adjusted have been included for greater global comparability. Listed companies will need to receive assurance for the ESG data they provide in their annual BRSR reports and include it from companies along their value chain."
"12 Jul 2023,The European Parliament adopted a position on the Nature Restoration Law,Europe,Sustainable Fishery; Sustainable Farming; Sustainable Forestry; Bioremediation; Non Hazardous Waste Management; Hazardous Waste Management; Marine Biodiversity; Pollution; Environment; Biodiversity; Climate Change,Agriculture & Forestry; Government and Non-Profit Organisations,
                                                    European Parliament
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-european-parliament-adopted-a-position-on-the-nature-restoration-law,The European Parliament adopted a position on the Nature Restoration Law,"Thursday, 13 July 2023","With the rule introducing a framework of measures that restore at least 20% of the EU's land and sea by 2030 and all ecosystems in need of restoration by 2050, the vote's conclusion is a big victory for biodiversity. The Regulation has specific goals for improving and reestablishing biodiverse habitats, stopping the loss of pollinating insect populations, preserving green urban space, putting drained peatland back to use for agriculture, and restoring coastal habitats, among others."
"10 Jul 2023,ISSB to take Over TCFD Monitoring Responsibilities from 2024,Global,Social; Environment; Risk Management; Ethics; Governance; Sustainable Finance,Investment Banking; Investments and Asset Management; Risk management; Financial Services,
                                                    International Sustainability Standards Board
                                                ,",https://www.globaldata.com/esg/regulatorysummary/issb-to-take-over-tcfd-monitoring-responsibilities-from-2024,ISSB to take Over TCFD Monitoring Responsibilities from 2024,"Tuesday, 11 July 2023","Following the publication of the inaugural ISSB Standards—IFRS S1 and IFRS S2—the Financial Stability Board has asked the IFRS Foundation to take over the Task Force on Climate-related Financial Disclosures (TCFD) monitoring of corporations' climate-related disclosures. The recommendations of the TCFD are fully included into IFRS S1 and IFRS S2. As such, the Financial Stability Board stated that the Standards are ""the culmination of the work of the TCFD,"" which was established in 2017 at the request of the Financial Stability Board."
"5 Jul 2023,SEBI requires ESG Ratings providers to be certified,India; Asia,Sustainable Finance; Governance; Ethics; Risk Management; Environment; Social,Insurance; Risk management; Financial Services,
                                                    Securities and Exchange Board of India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/sebi-requires-esg-ratings-providers-to-be-certified,SEBI requires ESG Ratings providers to be certified,"Thursday, 06 July 2023","Only businesses certified by the Securities and Exchange Board of India (SEBI) can provide ESG rating services. Even overseas agencies that provide ESG rating services will need to obtain SEBI accreditation in order to supply services to Indian firms. The market regulator established two categories for rating entities based on their net worth and functions. Methodology for rating The certified rating agency must disclose its rating methodology for all ESG ratings on its website, while keeping proprietary or confidential aspects of the methodologies in check, and include category-wise weightages of environmental, social, and governance factors in ESG ratings, as well as the weightage of high level themes or key issues in each of the three factors."
