Title,Region,Country,Institution,Industry,Topic,Year,Month,Author,External URL,File Name,Cloud drive URL,# of companies (mandated or voluntarily disclosing),Scope 3?,Mandatory?,Description
[former] IIRC,Global,[former] IIRC,Framework,,,,,integratedreporting,https://www.integratedreporting.org/     @                           {name},,,2;500,No,No,Framework. Reporting is now managed and streamlined through Value Reporting Foundation. Focus is on financial materiality and climate risk on the business (rather than the business’ impact on the climate).
[former] SASB,Global,[former] SASB,Standard,,,,,sasb,https://www.sasb.org/     @                           {name},,,4;000,Partly,No,Standard. Reporting is now managed and streamlined through Value Reporting Foundation. Focus was on connecting businesses and investors on the financial impacts of sustainability. Includes what is “financially material”; not necessarily what is environmentally material. Presents itself as a tool to implement the TCFD framework. Has a collaborative framework with GRI; encouraging companies to report on the basis of both.
B Corp Assessment,Global,B Corp Assessment,Standard,,,,,bcorporation,https://www.bcorporation.net/en-us/     @                           {name},,,4;400,Yes,No,Standard. Impact Assessment with a scope above 80 required for certification; incl. environmental; social; and governance impacts. See more: https://www.bcorporation.net/en-us/standards/development-and-governance
Canada,Canada,Canada,Regulation,,,,,osc.ca,https://www.osc.ca/en/securities-law/instruments-rules-policies/5/51-107     @                           {name},,,,Partly,Yes; starting in 2024; once adopted,Regulation. In 2021; climate-related disclosures have been proposed in Ontario through the Ontario Security Commission. On a federal level; the Canadian Security Administrators have published a proposal (NI 51-107) for consultation that would mandate large corporations to disclose in line with the TCFD; or stricter frameworks; it is open for comments until January 17; 2022. Proposal includes a “phase-in” of increasing scope 3 disclosures over a 3-year period (assuming 2024-2026 for initial mandatory reporting; respectively).
CDP,Global,CDP,Framework,,,,,cdp,https://www.cdp.net/     @                           {name},,,9;600,Yes,No,Framework. Focus on the environment. Provides a policy framework for environmental reporting and questionnaires; works with fortune 500+ on disclosing their carbon footprint; as well as cities; regions; and countries. Each reporting entity can request disclosures from their suppliers through CDP; so far around 15;000 supplier requests have been made.
Chile,Chile,Chile,Regulation,,,,,bnamericas,https://www.bnamericas.com/en/news/chile-readying-mandatory-esg-reporting-rules     @                           {name},,,,Partly,Yes; once adopted,Proposed Regulation. In 2021; Chile’s security regulator has proposed mandatory ESG disclosures; building on the SASB standard; for large; listed companies.  Issued a white paper; including recommendations (https://www.chiletransparente.cl/wp-content/files_mf/1621960863InformeAEChileCreandovalorsostenible.pdf). Adoption seems to be pending.
China,China,China,Regulation,,,,,responsible-investor,https://www.responsible-investor.com/articles/annual-reports-in-china-will-now-include-environmental-and-social-information     @                           {name},,,,TBD,Partly,Pending regulation. On June 28; the China Securities Regulatory Commission (CSRC) released revised guidelines on the format of annual and semi-annual reports for listed companies; prompted by updated requirements under China’s Securities Law.One important change relates to ESG disclosure: reports now need to consolidate environmental and social information under Section 5: Environmental and Social Responsibility. In Oct 2021; the Ministry of Ecology and Environment (MEE) closed a comment period for introducing mandatory disclosures for listed companies by 2025 (https://www.fitchratings.com/research/corporate-finance/proposed-rules-may-strengthen-chinas-esg-disclosure-28-10-2021).
Dow Jones Sustainability Index (DJSI),Global,Dow Jones Sustainability Index (DJSI),Index,,,,,spglobal,https://www.spglobal.com/esg/performance/indices/djsi-index-family     @                           {name},,,2;500,N/A,No,Index. The DJSI World Index lists the 2500 largest companies based on free-float market capital in the S&P Global Broad Market Index. Instead of companies opting to align with this framework; they are invited to have their stock performance tracked in terms of economic; environmental and social criteria (audience: investors). While not legally mandated once invited; corporations will face repercussions from investors and shareholders if they don’t report due to the high profile and visibility of the index.
EMAS,Global,EMAS,Environmental Standard,,,,,ec.europa.eu,https://ec.europa.eu/environment/emas/index_en.htm     @                           {name},,,3;900,Yes,No,Environmental Standard. It is a voluntary Environmental Management and Audit Scheme developed by the European Union. Open to all companies; all sectors. Primary goal: improve environmental performance. Under the EMAS Regulation; companies can voluntary chose to register; disclose; and get audited for their efforts. Other accounting standards such as ISO 14001 are recognised as a step towards EMAS. Verification is renewed every 3-4 years.
EU CSRD,European Union,EU CSRD,Standard,,,,,ec.europa.eu,https://ec.europa.eu/info/business-economy-euro/company-reporting-and-auditing/company-reporting/corporate-sustainability-reporting_en     @                           {name},,,50;000,Yes,Yes; once adopted,Standard. Pending adoption. Would amend existing EU NRFD. Commission proposal to be discussed in 2022; first set of standards to be presented by October 2022. Planned scope: Double Materiality (i.e. how companies are affected by climate change; and how they are impacting the environment); comprehensive; mandatory sustainability reporting for large corporations and all publicly-listed ones; required third-party auditing. If adopted; first reports will be due in 2024 (covering financial year 2023). Note that reporting is required in a digitally “tag-able”; machine-readable format; suggesting XHTML.
EU NFRD,European Union,EU NFRD,Regulation,,,,,eur-lex.europa.eu,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32014L0095     @                           {name},,,11;700,Yes,Yes (>500 employees),Regulation. Mandatory disclosures; reporting can follow any voluntary framework; however methodology and alignment need to be disclosed and  EU guidelines build on the TCFD framework; however expanding it towards double materiality (https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52019XC0620(01)1 ). Follows “comply or explain” principle; meaning if “climate” or “environmental” impact are not considered material -and hence not reported; that needs to be explained. (Note different reporting requirements apply to companies in Finland and Sweden with a threshold of >250 employees; and Greece with a >10 employees threshold.)
EU Taxonomy,European Union,EU Taxonomy,Regulation,,,,,eur-lex.europa.eu,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=PI_COM:C(2021)2800     @                           {name},,,11;700-50;000,N/A,Yes (>500 employees),Regulation. Applicable to all companies under the EU NFRD or; if adopted; the CSRD. Enters into force on January 1; 2022. Sets out criteria for disclosing efforts for mitigation (Art. 1) and adaptation (Art. 2). Focus on sectors with highest associated emissions: manufacturing; energy; transport; buildings. Agriculture is delayed in light of the Common Agricultural Policy Reform. ICT sector is marked for review in terms of mandatory thresholds.Note: Discussions around how nuclear energy and natural gas are categorised are heated; notably since it seems like the industry has; for now; won on declaring natural gas a sustainable; “transitional energy resource”.
GHG Protocol,Global,GHG Protocol,Environmental Standard,,,,,ghgprotocol,https://ghgprotocol.org/     @                           {name},,,,Yes,No,Environmental Standard. Focused on accounting for the “E”. Most commonly used method to calculate GHG emissions across all three scopes. Not a reporting but an accounting standard; most widely used basis upon which environmental impact (emissions) are calculated — and then included in the reporting against any framework or standard.
GRI,Global,GRI,Standard,,,,,globalreporting,https://www.globalreporting.org/standards/     @                           {name},,,10;000,Yes,No,Standard. The GRI Standards create a common language for organisations – large or small; private or public – to report on their sustainability impacts in a consistent and credible way. Scope 3 emissions are included in as far as they are considered material. The focus on the economic; environmental; and social impacts of a company in relation to sustainable development. Has a collaborative framework with SASB; encouraging companies to report on the basis of both. Efforts such as the VRF point to GRI for disclosures on double materiality.
Hong Kong,Hong Kong,Hong Kong,Standard,,,,,lawyer-monthly,https://www.lawyer-monthly.com/2021/11/esg-in-hong-kong-the-regulatory-implications/     @                           {name},,,,Partly,Yes; by 2022,Standard. Hong Kong’s regulators of listed companies; securities and investment forms; the Stock Exchange of Hong Kong Limited (HKEX) (https://en-rules.hkex.com.hk/rulebook/environmental-social-and-governance-reporting-guide-0) and the Securities and Futures Commission (SFC) have introduced requirements on enhanced disclosures of environmental; social and governance factors as their key investment focus (ESG funds); applicable from 2022.Regulation. In 2020; the above regulators launched a consultation on the requirement for Hong Kong financial institutions and listed companies to disclose in line with TCFD recommendations no later than 2025; coming into force in Nov 2022.
India,India,India,Regulation,,,,,valuereportingfoundation,https://www.valuereportingfoundation.org/news/india-in-focus-esg-disclosure/     @                           {name},,,1;000,Yes,Yes; by 2023,Regulation. Voluntary disclosures until 2022. For financial years 2022-2023; the top listed companies fall under mandatory disclosures (first reports in 2024) of the Business Responsibility and Sustainability Report (BRSR); which allows for alignment with GRI; TCFD; SASB; IIRC as well.
ISO 14067,Global,ISO 14067,Environmental Standard,,,,,iso,https://www.iso.org/standard/71206.html     @                           {name},,,,Partly,No,Environmental Standard. Focused on the accounting and certification of the “E”. Provides calculation instructions; notably for the carbon footprint of products. ISO 14067 defines the principles; requirements and guidelines for the quantification of carbon footprint of products. The aim of this accounting (not reporting) standard is to quantify Greenhouse gas emissions associated with the life cycle stages of a product.
ISSB,Global,ISSB,Standard,,,,,ifrs,https://www.ifrs.org/groups/international-sustainability-standards-board/     @                           {name},,,,TBD,No,Standard. Announced consolidation with Climate Disclosure Standards Board (CSDB); and Value Reporting Foundation (VRF) by June 2022 (https://www.ifrs.org/news-and-events/news/2021/11/ifrs-foundation-announces-issb-consolidation-with-cdsb-vrf-publication-of-prototypes/). Consultations on first standards draft due to take place throughout 2022. Once finalised; the Standard will need to be adopted and integrated into national legislation in each jurisdiction.
Malaysia,Malaysia,Malaysia,Regulation,,,,,bnm.gov.my,https://www.bnm.gov.my/-/bnm-sc-6th-jc3-meeting-en     @                           {name},,,,Partly,Yes; by 2024 (once adopted),Pending regulation. In Dec 2021;  regulators announced intention to make ESG disclosures for financial institutions (in line with the TCFD framework) mandatory by 2024 (https://www.bnm.gov.my/-/bnm-sc-6th-jc3-meeting-en). Consultations are planned for 2022. The Bursa Malaysia also  republished sustainability guidelines (https://www.bursamalaysia.com/sites/5bb54be15f36ca0af339077a/content_entry5ce3b5005b711a1764454c1a/5ce3c83239fba2627b286508/files/bursa_malaysia_sustainability_reporting_guide-final.pdf?1570701456) for listed companies.
New Zealand,New Zealand,New Zealand,Regulation,,,,,legislation.govt.nz,https://legislation.govt.nz/act/public/2021/0039/latest/LMS479633.html     @                           {name},,,200,Partly,Yes; by 2023,Regulation. In 2021; the New Zealand government enacted an Amendment Bill to introduce a mandatory climate-related financial disclosure regime based on the TCFD framework  for (large) financial institutions (https://www.esgtoday.com/new-zealand-to-become-first-country-mandating-climate-risk-reporting-from-financials/) and listed companies. Reporting is set to start in 2024 covering financial year 2023 (https://www.mbie.govt.nz/business-and-employment/business/regulating-entities/mandatory-climate-related-disclosures/).
PAS 2050 & 2060 (BSI),Global,PAS 2050 & 2060 (BSI),Environmental Standard,,,,,bsigroup,https://www.bsigroup.com/en-GB/PAS-2060-Carbon-Neutrality/     @                           {name},,,,Partly,No,Environmental Standard. Publicly Available Standards (PAS) issued by the British Standards Institute (BSI) for Carbon LCA analysis of goods and services - aka product footprinting (PAS 2050) and for certification of business carbon neutrality (PAS 2060). The emphasis is on GHG accounting (2050) and certification of reduction (2060). NB: GHG Protocol is also built on PAS 2050. Includes all Scope 3 emissions that contribute more than 1% of the total footprint.
PCAF,Global,PCAF,Framework,,,,,carbonaccountingfinancials,https://carbonaccountingfinancials.com/about     @                           {name},,,188,Partly,No,Framework. Partnership for Carbon Accounting Financials; reporting by financial institutions (PCAF members); focus on loans and investments; i.e. GHG Protocol scope 3 category 15 primarily (started in the Netherland; expanded via North America to now global ambition; aiming to have 200 members by end of 2022)
SBTi,Global,SBTi,Environmental Standard,,,,,sciencebasedtargets,https://sciencebasedtargets.org/     @                           {name},,,1000+,Yes,No,Environmental Standard (with framework). The Science-Based Targets Initiative (SBTi) is a collaboration betweenCDP; the United Nations Global Compact; World Resources Institute (WRI) and the World Wide Fund for Nature (WWF). Since 2015 more than 1;000 companies have submitted their emissions reduction targets to the initiative to receive validation that their ambition is in line with science-based climate targets. SBTi is not an ESG reporting but an environmental accounting framework.
Singapore,Singapore,Singapore,Regulation,,,,,sgx,https://www.sgx.com/regulation/sustainability-reporting     @                           {name},,,,Partly,Yes,Regulation. Reporting has been mandatory for companies listed on the Singapore Stock Exchange (SGX) since 2016; however on a “comply or explain” principle. It points to existing global standards for reporting practices. In 2021; there were consultations on more closely aligning mandatory reporting with the TCFD framework (https://www.iflr.com/article/b1sgmvnq1ndxc8/a-closer-look-at-singapores-mandatory-corporate-esg-disclosures-and-associated-legal-risks). In 2021; the Monetary Authority of Singapore (MAS) also announced an initiative on a central database for ESG disclosures; a pilot is expected in 2022 (https://www.esgtoday.com/singapore-financial-regulator-to-launch-esg-disclosure-and-data-platforms/). There will be a phase in for mandatory reporting; starting with financial institutions; expanding via agriculture; food and forest products; energy industries from FY 2023; to materials and buildings; and transportation industries from FY 2024 (https://www.eyeonesg.com/2021/12/singapore-regulator-prioritizes-tcfd-diversity-and-esg-metrics-in-new-disclosure-rules-and-guidance/).
Sustainability Disclosure Requirements (SDR),United Kingdom,Sustainability Disclosure Requirements (SDR),Regulation,,,,,gov.uk,https://www.gov.uk/government/news/chancellor-sets-new-standards-for-environmental-reporting-to-weed-out-greenwashing-and-support-transition-to-a-greener-financial-system     @                           {name},,,,Partly,Yes; likely by 2025,Pending Regulation. The U.K announced its Sustainability Disclosure Requirements (SDR); detailing that all publicly listed UK companies with a premium listing will be required to “comply or explain” with the TCFD’s requirements by 2023; with mandatory TCFD-aligned disclosures across non-financial and financial sectors by 2025. The government indicated its intention to integrate upcoming ISSB Standards into national law as well. (https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1031805/CCS0821102722-006_Green_Finance_Paper_2021_v6_Web_Accessible.pdf)
Switzerland,Switzerland,Switzerland,Regulation,,,,,iflr,https://www.iflr.com/article/b1sq3tqqx4kqnl/esg-reporting-and-due-diligence-obligations-introduced-in-switzerland     @                           {name},,,,Yes,Yes; by 2023,Regulation. In 2021; Switzerland became a formal supporter of TCFD to complement the country’s sustainable finance policy agenda (https://iclg.com/practice-areas/environmental-social-and-governance-law/switzerland). In addition; the Swiss parliament introduced a legislative proposal to make disclosures mandatory largely based on the EU NRFD; i.e. including double materiality. The new rules enter into force on January 1; 2022. With first reports due in 2024; covering financial year 2023.
TCFD,Global,TCFD,Framework,,,,,fsb-tcfd,https://www.fsb-tcfd.org/     @                           {name},,,2;600,Partly,No,Framework. Reporting for financial disclosure. Focuses on the financial risk of climate change on a business’ operations (i.e. not on the business’ impact  on the climate). Several regulatory bodies are encouraging the TCFD framework for disclosure (e.g. Australia; Canada; Hong Kong; Japan; New Zealand; Singapore; South Africa; Switzerland; UK). Members are primarily based in G20 jurisdictions.Scope 1 & 2 are supposed to be reported in absolute numbers. Scope 3 undergoes a materiality assessment and guidance only requires disclosure of carbon intensity only.
Thailand,Thailand,Thailand,Regulation,,,,,sseinitiative,https://sseinitiative.org/stock-exchange/set/     @                           {name},,,668,Partly,Yes,Regulation. The Stock Exchange of Thailand (SET) requires sustainability reporting and issues its own report on the basis of the GRI Standard; which  it also encourages all listed companies to follow (https://fundselectorasia.com/thailand-leads-esg-disclosure-in-southeast-asia/).
USA,USA,USA,Regulation,,,,,congress,https://www.congress.gov/bill/117th-congress/house-bill/2570/text     @                           {name},,,TBD,Yes,TBD,Proposed Bill. Introduced to the House in May 2021 to amend the Security Exchange Act of 1934; introducing a Climate Risk Disclosure Act (requires adoption by House and Senate; as well as Presidential Signature to pass). If passed; the SEC would be expected to issue mandatory disclosure act in line with the bill no later than May 2023.SEC Chair has states that mandatory disclosures in line with TCFD are currently under consideration.
VRF (former SASB and IIRC),Global,VRF (former SASB and IIRC),Framework,,,,,valuereportingfoundation,https://www.valuereportingfoundation.org/     @                           {name},,,6;500,Partly,No,Merger formalised in June 2021. Combines Integrated Reporting Framework with SASB Standard. Continues focus on financial institutions. Points to GRI for comprehensive disclosures on environmental; social; governance issues and alignment with sustainable development (double materiality).
US SEC Climate Guidance,United States,United States,Securities and Exchange Commission (SEC),,,,,,,,,,,,"The guidance requires public companies to disclose material business risks to investors, transparently through regular filings with the SEC, including climate change risks that may develop on their business."
NYSE Section 303A Corporate Governance Rules,United States,United States,NYSE,,,,,,,,,,,,The regulation requires listed companies to “adopt and disclose a code of business conduct and ethics.”
Interpretive Bulletin 2015-01,United States,United States,Department of Labor,,,,,,,,,,,,The regulation clarifies that ESG factors can be a part of the primary analysis of cautious investment decision making.
Consultation Report,Canada,Canada,Ontario Capital Markets Modernization Taskforce,,,,,,,,,,,,"The Consultation contains policy proposals to modernize Ontario’s capital markets for enhancing ESG disclosure including forward-looking information, for Toronto Stock Exchange (TSX) issuers."
TSX Listing Rules,Canada,Canada,Toronto Stock Exchange,,,,,,,,,,,,The regulation states that any “material” information on the environment or social aspects must be immediately disclosed by a news release as required by the Exchanges’ Timely Disclosure Policies. The issuer must file a material change report on the System for Electronic Document Analysis and Retrieval (SEDAR).
National Instrument 43-101,Canada,Canada,Canadian Securities Administration,,,,,,,,,,,,Under this regulation mining companies are required to report on reasonably available information on environmental and social factors as it involves various mining and exploration activities.
EU Sustainable Finance Disclosure Regulation (SFDR),European Union,European Union,European Commission,,,,,,,,,,,,SFDR is designed to obligate financial market participants (FMPs) and financial advisers to be transparent with their sustainable investment products and to prevent greenwashing.
EU Taxonomy Regulation Article 8 Delegated Act,European Union,European Union,European Commission,,,,,,,,,,,,"The EU Taxonomy framework is designed to categorize economic activities to help fund managers, companies, issuers and project promoters navigate the transition to a low-carbon, climate-resilient, and resource-efficient economy. The taxonomy will increase transparency and facilitate green bonds in sustainable projects and assets across the EU."
